paper,arm,model,cohort,subgroup,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
p2,clean_ordinary,P2_Bagging,validation,route=123,67,7.286016731017231,2.699262256805965,2.0669132378169834,0.5592645639171417,0.013751206836515463,1.3751206836515464,1.2257917885614469,0.22579178856144683,False
p2,clean_ordinary,P2_Bagging,validation,route=456,357,7.059654990943683,2.6570011273884853,1.9947035005213476,0.9123368277894301,0.026850785092292995,2.6850785092292995,1.2138544582411976,0.21385445824119767,False
p2,clean_ordinary,P2_Integrated,test,all,424,7.074313480095678,2.6597581619567743,1.9502175322661166,0.9919044687623704,0.022958269647997766,2.2958269647997764,1.2046332877598889,0.20463328775988887,False
p2,clean_ordinary,P2_Integrated,test,STAGE=A,238,7.297786452321817,2.701441550787619,1.988674599971584,0.994763797758025,0.022602637484776245,2.2602637484776245,1.2115744723262225,0.2115744723262225,False
p2,clean_ordinary,P2_Integrated,test,STAGE=B,186,6.7883641930536305,2.6054489427071164,1.9010090262774002,0.906713433667085,0.023413325856851103,2.34133258568511,1.1957515569707093,0.19575155697070923,False
p2,clean_ordinary,P2_Integrated,test,condition=Cond1,165,6.208520730356727,2.4916903359680806,1.8005114368685526,0.8493942610571805,0.025630635663655813,2.563063566365581,1.196889186769733,0.19688918676973322,False
p2,clean_ordinary,P2_Integrated,test,condition=Cond2,186,6.7883641930536305,2.6054489427071164,1.9010090262774002,0.906713433667085,0.023413325856851103,2.34133258568511,1.1957515569707093,0.19575155697070923,False
p2,clean_ordinary,P2_Integrated,test,condition=Cond3,73,9.759825412927846,3.12407192825771,2.4139749001359694,0.3241826817659237,0.01575853201196627,1.575853201196627,1.2447672410497945,0.24476724104979428,False
p2,clean_ordinary,P2_Integrated,test,route=123,73,9.759825412927846,3.12407192825771,2.4139749001359694,0.3241826817659237,0.01575853201196627,1.575853201196627,1.2447672410497945,0.24476724104979428,False
p2,clean_ordinary,P2_Integrated,test,route=456,351,6.515788206315769,2.552604200873251,1.8537665697176855,0.9164798757604098,0.024455650979708025,2.4455650979708023,1.1962863402095665,0.19628634020956665,False
p2,clean_ordinary,P2_Integrated,validation,all,424,6.827695951450278,2.612986022054132,1.9718625172917401,0.9917010780453258,0.024302174926857267,2.4302174926857267,1.2115377677038053,0.21153776770380542,False
p2,clean_ordinary,P2_Integrated,validation,STAGE=A,252,6.473596439442817,2.544326323301085,1.9179255900961423,0.9948095747078031,0.022910392367991347,2.2910392367991346,1.2054209917406458,0.2054209917406457,False
p2,clean_ordinary,P2_Integrated,validation,STAGE=B,172,7.346492910903069,2.710441460519498,2.0508863873690117,0.9185223059254578,0.026341298210777107,2.634129821077711,1.2204995557428535,0.22049955574285335,False
p2,clean_ordinary,P2_Integrated,validation,condition=Cond1,185,6.388002931111957,2.527449886963529,1.8790170015876313,0.8611911352824552,0.026325329097877482,2.632532909787748,1.1998706709225868,0.19987067092258679,False
