stage,view,k,model,rmse_mean,rmse_sd,mse_mean,fitting_seconds_mean,ranking_seconds_mean
B,rows_dc,20,P1_ERT,4.9824446035191645,0.08356230233961459,24.83138775259093,0.09868868500634562,1.2015479200024857
B,rows_dc,20,P1_GBT,5.195591707177218,0.11542374684458576,27.006829696957546,0.8106832049990771,1.2015479200024857
B,rows_dc,20,P1_RF,5.116561752721925,0.07829506355068398,26.18502778054444,0.21116165499552153,1.2015479200024857
B,rows_dc,35,P1_ERT,4.897795584863969,0.06171195621161291,23.99201953837548,0.09969927000056486,1.2015479200024857
B,rows_dc,35,P1_GBT,5.050923531454226,0.08910911184105126,25.519371932720475,1.3271876100101507,1.2015479200024857
B,rows_dc,35,P1_RF,5.003716486681406,0.07705757694411149,25.042819655743585,0.31464012000651564,1.2015479200024857
B,rows_dc,50,P1_ERT,4.954416881770312,0.05506468644503296,24.549127152079294,0.09734237500233575,1.2015479200024857
B,rows_dc,50,P1_GBT,5.021595529210765,0.07643315617897858,25.22197158498484,1.8165805899974656,1.2015479200024857
B,rows_dc,50,P1_RF,4.997747895809916,0.0562947531068265,24.980494674338434,0.4101097499980824,1.2015479200024857
B,rows_dc,65,P1_ERT,5.006757478644152,0.03890105111641057,25.06905807714822,0.10039389499870595,1.2015479200024857
B,rows_dc,65,P1_GBT,5.014194412587923,0.08290419755548807,25.14867505790165,2.3178974249982276,1.2015479200024857
B,rows_dc,65,P1_RF,5.021301606093385,0.03882432171621824,25.214901780914893,0.5026242949970765,1.2015479200024857
B,rows_dc,85,P1_ERT,5.1641557815712895,0.049130824010927256,26.670798082310768,0.10444783500861377,1.2015479200024857
B,rows_dc,85,P1_GBT,5.121407581836809,0.013084769353246742,26.22897826992513,3.032824934992823,1.2015479200024857
B,rows_dc,85,P1_RF,5.0623127242785255,0.05004942957338449,25.62938981652286,0.6564506800059462,1.2015479200024857
B,time_ac,5,P1_ERT,5.68972272183156,0.17139872093779787,32.40085329678849,0.10077161499648354,1.3884582150058122
B,time_ac,5,P1_GBT,5.818811453333742,0.09455418101208088,33.86706019793747,0.2248450250015594,1.3884582150058122
B,time_ac,5,P1_RF,5.664574788863571,0.1414088618777076,32.10640418153544,0.10046470000816043,1.3884582150058122
B,time_ac,20,P1_ERT,4.925387082236567,0.06289451698702847,24.263195844116517,0.10463623999385163,1.3884582150058122
B,time_ac,20,P1_GBT,5.034991497714322,0.07778306509760997,25.35688707701069,0.79888445000106,1.3884582150058122
B,time_ac,20,P1_RF,4.964487147330913,0.047686220355963156,24.64829291284507,0.20844491500465664,1.3884582150058122
B,time_ac,35,P1_ERT,4.876762048307695,0.06614260788369715,23.786964178163036,0.10609562999743502,1.3884582150058122
B,time_ac,35,P1_GBT,4.944239837568191,0.06752591481368585,24.449839333109185,1.3523732100089547,1.3884582150058122
B,time_ac,35,P1_RF,4.924644106420636,0.04261717955409202,24.25384498769699,0.3124517849995755,1.3884582150058122
B,time_ac,50,P1_ERT,4.937230504417706,0.06602645705322753,24.38038657213217,0.10593975500087253,1.3884582150058122
B,time_ac,50,P1_GBT,4.91415911245055,0.07561597369944954,24.15439166918537,1.87169686499401,1.3884582150058122
B,time_ac,50,P1_RF,4.96237716656157,0.0456277147762704,24.627164937149555,0.41652707499451935,1.3884582150058122
B,time_ac,65,P1_ERT,4.989173525786052,0.05101678849941247,24.894325047477786,0.10488588000589516,1.3884582150058122
B,time_ac,65,P1_GBT,4.886919775167513,0.09397798638336541,23.890375157751738,2.3532776500069303,1.3884582150058122
B,time_ac,65,P1_RF,5.007118636311324,0.038816281763955844,25.07266840663965,0.5211885800003074,1.3884582150058122
B,time_ac,85,P1_ERT,5.115496908767591,0.057142853582477386,26.171410664040547,0.10642764499934856,1.3884582150058122
B,time_ac,85,P1_GBT,4.729465996182041,0.008693402649682148,22.367920405529333,3.0072780200047418,1.3884582150058122
B,time_ac,85,P1_RF,5.020790172656366,0.03851188122978158,25.20974296458881,0.6532559350074735,1.3884582150058122
