stage,view,repeat,feature,importance,rank
A,rows_dc,4,c1_kurtosis_x25,0.22633692057739913,49
A,rows_dc,4,c1_skew_x15,0.2209710577207381,50
A,rows_dc,4,c1_moment3_x20,0.21363008320143193,51
A,rows_dc,4,c1_moment3_x15,0.21340085130216654,52
A,rows_dc,4,c1_std_x19,0.2100973214098323,53
A,rows_dc,4,c1_moment3_x8,0.20854725604435048,54
A,rows_dc,4,c1_skew_x23,0.20828033415266517,55
A,rows_dc,4,c1_std_x21,0.20061976178708468,56
A,rows_dc,4,c1_moment3_x24,0.19875784773892563,57
A,rows_dc,4,c1_moment3_x23,0.1958996002127798,58
A,rows_dc,4,c1_moment3_x25,0.19463362273481868,59
A,rows_dc,4,c1_kurtosis_x15,0.19406338485665112,60
A,rows_dc,4,c1_std_x23,0.19055957855749897,61
A,rows_dc,4,c1_skew_x12,0.1854552266456631,62
A,rows_dc,4,c1_std_x15,0.18476912909337118,63
A,rows_dc,4,c1_moment3_x11,0.18167782637250895,64
A,rows_dc,4,c1_skew_x24,0.1807819775723982,65
A,rows_dc,4,c1_skew_x19,0.17574057698791964,66
A,rows_dc,4,c1_std_x8,0.16903680052757789,67
A,rows_dc,4,c1_moment3_x18,0.16730188093665152,68
A,rows_dc,4,c1_kurtosis_x23,0.16674580440651687,69
A,rows_dc,4,c1_std_x24,0.15947174221060473,70
A,rows_dc,4,c1_skew_x8,0.15895598254244628,71
A,rows_dc,4,c1_skew_x18,0.1588680510660136,72
A,rows_dc,4,c1_std_x11,0.15837494018964177,73
A,rows_dc,4,c1_skew_x11,0.15723852248564177,74
A,rows_dc,4,c1_rows_dc_amplitude_x23,0.14950537362008207,75
A,rows_dc,4,c1_kurtosis_x21,0.14769715666322036,76
A,rows_dc,4,c1_std_x10,0.14650646360026498,77
A,rows_dc,4,c1_rows_dc_kurtosis_x23,0.14151967345853134,78
A,rows_dc,4,c1_kurtosis_x19,0.12472574429566109,79
A,rows_dc,4,c1_moment3_x12,0.11158941415859237,80
A,rows_dc,4,c1_kurtosis_x8,0.1071471376682689,81
A,rows_dc,4,c1_kurtosis_x11,0.09608488794987022,82
A,rows_dc,4,c1_moment3_x19,0.09212359508888833,83
A,rows_dc,4,c1_kurtosis_x10,-0.03364975410626155,84
A,rows_dc,4,c1_kurtosis_x24,-0.06198147509290103,85
A,rows_dc,5,c1_rows_dc_kurtosis_x21,0.6560110748188601,1
A,rows_dc,5,c1_std_x17,0.609930779446011,2
A,rows_dc,5,c1_rows_dc_centroid_x21,0.5566805343824083,3
A,rows_dc,5,c1_std_x9,0.554652266989064,4
A,rows_dc,5,c1_std_x7,0.535292559182693,5
A,rows_dc,5,c1_std_x22,0.4936203747908504,6
A,rows_dc,5,c1_std_x16,0.4794406584743127,7
