partition,policy,condition,variant,component,n,component_range_fallback_n,quality_flag_n,feature_flag_n
validation,completed,Cond2,raw_guarded,bag_2,172,0,17,0
validation,completed,Cond2,gap_guarded,ridge_100,172,0,17,0
validation,completed,Cond2,gap_guarded,svr_10,172,0,17,0
validation,completed,Cond2,gap_guarded,bag_2,172,0,17,0
validation,completed,Cond2,phase_guarded,ridge_1000,172,0,17,4
validation,completed,Cond2,phase_guarded,svr_100,172,0,17,4
validation,completed,Cond2,phase_guarded,bag_2,172,0,17,4
validation,completed,Cond3,raw_guarded,ridge_1000,67,0,59,1
validation,completed,Cond3,raw_guarded,svr_10,67,0,59,1
validation,completed,Cond3,raw_guarded,bag_5,67,0,59,1
validation,completed,Cond3,gap_guarded,ridge_1000,67,0,59,1
validation,completed,Cond3,gap_guarded,svr_10,67,0,59,1
validation,completed,Cond3,gap_guarded,bag_5,67,0,59,1
validation,completed,Cond3,phase_guarded,ridge_1000,67,0,59,0
validation,completed,Cond3,phase_guarded,svr_10,67,0,59,0
validation,completed,Cond3,phase_guarded,bag_5,67,0,59,0
validation,retrospective,Cond1,raw_guarded,ridge_1000,185,0,15,3
validation,retrospective,Cond1,raw_guarded,svr_10,185,0,15,3
validation,retrospective,Cond1,raw_guarded,bag_2,185,0,15,3
