evaluation,policy,model,dimension,value,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
temporal,retrospective,selected,STAGE,A,99,18.445499029943104,4.294822351383478,3.2613366967481894,0.9831586310992075,0.033626246484359586,3.3626246484359585,1.4104482407414494,0.41044824074144914,False
temporal,retrospective,selected,STAGE,B,67,47.604643302553306,6.899611822599392,6.140472462640956,-2.359348427435572,0.06894770225683744,6.894770225683744,1.656049960848888,0.656049960848888,False
temporal,retrospective,selected,condition,Cond1,74,10.6828723251604,3.2684663567429295,2.4919245474266747,-0.443057279418992,0.03254064247686084,3.2540642476860837,1.2713623828752993,0.2713623828752997,False
temporal,retrospective,selected,condition,Cond2,67,47.604643302553306,6.899611822599392,6.140472462640956,-2.359348427435572,0.06894770225683744,6.894770225683744,1.656049960848888,0.656049960848888,False
temporal,retrospective,selected,condition,Cond3,25,41.422874076099895,6.436060446896058,5.5387966587398765,-2.752967297972723,0.03683963434655586,3.6839634346555865,1.8221423800252519,0.8221423800252518,False
test,completed,gap_guarded,all,all,424,9.027151491036218,3.0045218406655354,2.25505677936076,0.9896697273752265,0.026864239368735585,2.6864239368735587,1.2432793234996458,0.2432793234996458,False
test,completed,gap_guarded,STAGE,A,238,9.147956547770486,3.0245589013557805,2.261659718795057,0.9934362904563087,0.02597817450358867,2.597817450358867,1.2457131774014623,0.24571317740146223,False
test,completed,gap_guarded,STAGE,B,186,8.872572977580548,2.9786864517066154,2.24660785685881,0.878071970790304,0.02799802129295582,2.799802129295582,1.2401650373242032,0.24016503732420325,False
test,completed,gap_guarded,condition,Cond1,165,8.27802001911764,2.8771548479561613,2.098697023887916,0.7991925329544592,0.029862097781547345,2.9862097781547345,1.2345852984845633,0.23458529848456325,False
test,completed,gap_guarded,condition,Cond2,186,8.872572977580548,2.9786864517066154,2.24660785685881,0.878071970790304,0.02799802129295582,2.799802129295582,1.2401650373242032,0.24016503732420325,False
test,completed,gap_guarded,condition,Cond3,73,11.114251441300887,3.3338043495833536,2.630000056598869,0.23039570018436417,0.017199443806832762,1.7199443806832762,1.2708652324876037,0.27086523248760375,False
test,completed,phase_guarded,all,all,424,10.490542582993784,3.238910709327101,2.47555027555659,0.9879950873792547,0.02964795976774786,2.964795976774786,1.2721226900637457,0.27212269006374573,False
test,completed,phase_guarded,STAGE,A,238,9.175037960300697,3.029032512255472,2.2823704804652545,0.9934168593926659,0.0262577178959425,2.62577178959425,1.2491241645053328,0.2491241645053327,False
test,completed,phase_guarded,STAGE,B,186,12.173822691601066,3.489100556246705,2.72273732518959,0.8327057762741609,0.03398601119511171,3.398601119511171,1.3015509109395642,0.3015509109395645,False
test,completed,phase_guarded,condition,Cond1,165,8.352187444267066,2.89001512872633,2.123492127719634,0.7973933862083593,0.03022810755717626,3.022810755717626,1.2387556156708257,0.23875561567082537,False
test,completed,phase_guarded,condition,Cond2,186,12.173822691601066,3.489100556246705,2.72273732518959,0.8327057762741609,0.03398601119511171,3.398601119511171,1.3015509109395642,0.3015509109395645,False
test,completed,phase_guarded,condition,Cond3,73,11.034905565034244,3.3218828343326985,2.6414790859861754,0.23588999081382833,0.017283549483564826,1.7283549483564826,1.27255992556963,0.27255992556963016,False
test,completed,previous_control,all,all,424,9.345806829946223,3.057091236771684,2.297855125378788,0.9893050723090577,0.027199724554657016,2.7199724554657014,1.2480974438627055,0.24809744386270532,False
test,completed,previous_control,STAGE,A,238,9.369132555085013,3.060903878772578,2.307711425333934,0.9932775954447545,0.0262738366851107,2.62738366851107,1.25078869116947,0.2507886911694698,False
test,completed,previous_control,STAGE,B,186,9.315959934338524,3.052205749017999,2.285243300705,0.8719788906937651,0.028384462796334574,2.8384462796334575,1.2446538048357703,0.2446538048357702,False
test,completed,previous_control,condition,Cond1,165,8.106321544686564,2.8471602597476955,2.0961625361592495,0.8033575791450293,0.029837583181025903,2.9837583181025904,1.2340961408646822,0.2340961408646824,False
test,completed,previous_control,condition,Cond2,186,9.315959934338524,3.052205749017999,2.285243300705,0.8719788906937651,0.028384462796334574,2.8384462796334575,1.2446538048357703,0.2446538048357702,False
test,completed,previous_control,condition,Cond3,73,12.223431414204793,3.4962024275211516,2.785869873468495,0.15359073667201073,0.018218793235439356,1.8218793235439357,1.2885184281597428,0.2885184281597427,False
test,completed,previous_proposed,all,all,424,9.272973705301716,3.0451557768530852,2.27029494164499,0.989388419313308,0.026989795548275877,2.6989795548275874,1.2449263198905332,0.24492631989053296,False
test,completed,previous_proposed,STAGE,A,238,9.826583359014991,3.134738164347222,2.3098748346514926,0.9929493719566077,0.026499095111960955,2.6499095111960953,1.2526272486744927,0.2526272486744925,False
test,completed,previous_proposed,STAGE,B,186,8.564591460227739,2.9265323268721533,2.219649702206561,0.8823042920728368,0.027617681052807874,2.7617681052807876,1.2350724432744988,0.23507244327449858,False
test,completed,previous_proposed,condition,Cond1,165,9.149065912021564,3.024742288529977,2.142724018158924,0.7780627798214024,0.030450124893572336,3.0450124893572337,1.2420630933939245,0.24206309339392457,False
test,completed,previous_proposed,condition,Cond2,186,8.564591460227739,2.9265323268721533,2.219649702206561,0.8823042920728368,0.027617681052807874,2.7617681052807876,1.2350724432744988,0.23507244327449858,False
test,completed,previous_proposed,condition,Cond3,73,11.357958410438494,3.3701570305311432,2.6876814746689424,0.21352025586551726,0.017568685331606482,1.7568685331606482,1.276505133897694,0.2765051338976941,False
test,completed,raw_guarded,all,all,424,8.983580526294938,2.9972621717652492,2.2441176067078077,0.9897195880588263,0.02672877817901231,2.672877817901231,1.2425150224218693,0.2425150224218692,False
test,completed,raw_guarded,STAGE,A,238,9.185062971538779,3.0306868811440713,2.2597161327398863,0.9934096663915191,0.025951408695744412,2.595140869574441,1.246260094033671,0.24626009403367075,False
test,completed,raw_guarded,STAGE,B,186,8.725769655499061,2.953941376449279,2.224158202430203,0.880089360761405,0.0277234767651293,2.77234767651293,1.2377229415422522,0.23772294154225224,False
test,completed,raw_guarded,condition,Cond1,165,8.33154322431069,2.8864412733174896,2.095893548244699,0.7978941718441752,0.02982349013144472,2.982349013144472,1.2353741842934458,0.23537418429344584,False
test,completed,raw_guarded,condition,Cond2,186,8.725769655499061,2.953941376449279,2.224158202430203,0.880089360761405,0.0277234767651293,2.77234767651293,1.2377229415422522,0.23772294154225224,False
test,completed,raw_guarded,condition,Cond3,73,11.11425144130089,3.333804349583354,2.630000056598869,0.23039570018436395,0.017199443806832766,1.7199443806832766,1.270865232487604,0.27086523248760375,False
test,completed,raw_unprotected,all,all,424,8.976766993746285,2.996125330113259,2.234761848289816,0.9897273851639082,0.026491352465643454,2.649135246564345,1.2405679412176345,0.2405679412176345,False
test,completed,raw_unprotected,STAGE,A,238,9.03349204644085,3.0055768242453644,2.2561825388150796,0.9935184193706589,0.025775323677830246,2.5775323677830246,1.2439245381333006,0.24392453813330076,False
test,completed,raw_unprotected,STAGE,B,186,8.904183324169363,2.9839878223895893,2.2073525776177054,0.8776375773768096,0.02740756134467325,2.740756134467325,1.2362729408631798,0.23627294086317982,False
test,completed,raw_unprotected,condition,Cond1,165,8.106229938885626,2.8471441724797897,2.073268214745617,0.8033598013103309,0.029459284400657294,2.9459284400657295,1.2309688547905717,0.23096885479057153,False
test,completed,raw_unprotected,condition,Cond2,186,8.904183324169363,2.9839878223895893,2.2073525776177054,0.8776375773768096,0.02740756134467325,2.740756134467325,1.2362729408631798,0.23627294086317982,False
test,completed,raw_unprotected,condition,Cond3,73,11.129358453928688,3.3360693119191467,2.6696190247255083,0.2293496178694977,0.01744856313993351,1.7448563139933508,1.2732079319901544,0.27320793199015436,False
test,completed,selected,all,all,424,8.949090955954565,2.991503126515927,2.247184924222912,0.9897590563966161,0.026758282840966027,2.675828284096603,1.2424998017532898,0.24249980175328972,False
