model,group_id,n,mae,rmse,r2,negative_predictions
XGBoost,CMP-training-166.csv,3,2.5744949137369795,2.8279161491865934,-3.4741289668692152,0
XGBoost,CMP-training-167.csv,6,3.2727142679850254,3.9117595464372084,-0.2639357668609432,0
XGBoost,CMP-training-169.csv,3,2.2211752644856753,2.559177712293171,-2.9326254455812513,0
XGBoost,CMP-training-171.csv,9,2.1759645657009563,2.7690818256574947,-0.22355063978998335,0
XGBoost,CMP-training-172.csv,43,2.8837370642373723,3.7227918249346184,0.05388017715175053,0
XGBoost,CMP-training-182.csv,3,1.3716141560872377,2.0451460320996184,0.004329230224949798,0
InnerSelected,CMP-training-014.csv,22,5.938149695893719,6.868342126341456,0.515588423653249,0
InnerSelected,CMP-training-018.csv,1,11.70816300413263,11.70816300413263,,0
InnerSelected,CMP-training-029.csv,5,1.3872853126454658,1.6100308154336633,-1.4520414973300846,0
InnerSelected,CMP-training-044.csv,1,6.157941830208749,6.157941830208749,,0
InnerSelected,CMP-training-045.csv,3,4.091448139210617,4.133188260005741,-12.84618095495094,0
InnerSelected,CMP-training-047.csv,3,1.3596292765299463,1.5184997652622645,-0.2852021000060052,0
InnerSelected,CMP-training-049.csv,3,5.345439966751878,5.705136408119314,-5.599153111157477,0
InnerSelected,CMP-training-051.csv,4,3.5590809409545354,4.202425817286912,0.6970747326243294,0
InnerSelected,CMP-training-053.csv,8,2.9781395324707063,3.4305346915501165,0.08800208078152905,0
InnerSelected,CMP-training-056.csv,1,2.9288998901367194,2.9288998901367194,,0
InnerSelected,CMP-training-058.csv,5,2.037607982177735,2.7116946744706834,-0.3746674895212523,0
InnerSelected,CMP-training-059.csv,1,1.4664284526034095,1.4664284526034095,,0
InnerSelected,CMP-training-063.csv,1,5.691631016274513,5.691631016274513,,0
InnerSelected,CMP-training-067.csv,2,6.107532690612771,6.599147815647662,-268.7800886933265,0
InnerSelected,CMP-training-071.csv,3,6.788453639087493,6.790068058055804,-88.3135432725734,0
InnerSelected,CMP-training-072.csv,58,3.2394351781384696,4.048897949507852,-0.08135475408349757,0
InnerSelected,CMP-training-087.csv,61,3.262379096347635,3.9829198258398426,0.3550661919288993,0
InnerSelected,CMP-training-099.csv,3,1.9441902556880137,1.9853861728569193,-0.38944520672270877,0
InnerSelected,CMP-training-101.csv,64,3.550700796699524,4.2373062236346435,-0.005862868541459676,0
InnerSelected,CMP-training-115.csv,7,5.231197576180851,5.597274424034662,-0.8890950405429003,0
InnerSelected,CMP-training-118.csv,4,3.3331451873779336,3.3856839421957607,-2.739762016749969,0
InnerSelected,CMP-training-130.csv,4,2.8526559973404098,4.046022811332588,-0.5435070486395581,0
InnerSelected,CMP-training-134.csv,85,4.535555648857025,5.57847701204678,-0.19302313950444816,0
InnerSelected,CMP-training-137.csv,62,2.6154099684397965,3.4102750393782837,0.4250575955165844,0
InnerSelected,CMP-training-145.csv,11,4.6257699459368835,5.561197446843669,-0.5867332179850322,0
InnerSelected,CMP-training-166.csv,3,2.5744949137369795,2.8279161491865934,-3.4741289668692152,0
InnerSelected,CMP-training-167.csv,6,3.341544559489295,4.186693403666627,-0.44784815760752017,0
InnerSelected,CMP-training-169.csv,3,2.1152958202533605,2.482695013787081,-2.701079715708734,0
InnerSelected,CMP-training-171.csv,9,2.1759645657009563,2.7690818256574947,-0.22355063978998335,0
InnerSelected,CMP-training-172.csv,43,2.8837370642373723,3.7227918249346184,0.05388017715175053,0
InnerSelected,CMP-training-182.csv,3,2.087721757026131,2.7143022873005047,-0.7538140102353925,0
