cohort,stage,model,primary,slice,n,mae,rmse,r2,negative_predictions,coverage_90,mean_interval_width
test,A,LightGBM,False,group_id=test/CMP-test-029.csv,3,1.569333455343023,2.377859501158666,0.9956123335957733,0,1.0,15.324210986098384
test,A,LightGBM,False,group_id=test/CMP-test-034.csv,2,1.1363429496409836,1.2906305837286933,-1.9371589075935733,0,1.0,15.324210986098393
test,A,LightGBM,False,group_id=test/CMP-test-037.csv,1,3.1370375870911573,3.1370375870911573,,0,1.0,15.324210986098393
test,A,LightGBM,False,group_id=test/CMP-test-038.csv,1,1.7534379628615397,1.7534379628615397,,0,1.0,15.324210986098393
test,A,LightGBM,False,group_id=test/CMP-test-044.csv,1,11.511268513488119,11.511268513488119,,0,0.0,15.324210986098393
test,A,LightGBM,False,group_id=test/CMP-test-047.csv,1,2.9727782135780743,2.9727782135780743,,0,1.0,15.324210986098386
test,A,LightGBM,False,group_id=test/CMP-test-048.csv,2,3.873825019008489,3.8838458260983706,-451.64766971095463,0,1.0,15.324210986098397
test,A,LightGBM,False,group_id=test/CMP-test-050.csv,1,0.44415736644168646,0.44415736644168646,,0,1.0,15.324210986098365
test,A,LightGBM,False,group_id=test/CMP-test-052.csv,1,6.270606872267365,6.270606872267365,,0,1.0,15.324210986098393
test,A,LightGBM,False,group_id=test/CMP-test-057.csv,2,2.7640991516684466,2.807753413472313,0.04222300798436984,0,1.0,15.324210986098407
test,A,LightGBM,False,group_id=test/CMP-test-059.csv,1,1.557279247497661,1.557279247497661,,0,1.0,15.324210986098393
test,A,LightGBM,False,group_id=test/CMP-test-061.csv,1,2.2444063693822898,2.2444063693822898,,0,1.0,15.324210986098365
test,A,LightGBM,False,group_id=test/CMP-test-062.csv,1,2.0388373250521425,2.0388373250521425,,0,1.0,15.324210986098393
test,A,LightGBM,False,group_id=test/CMP-test-063.csv,1,1.6399731815199345,1.6399731815199345,,0,1.0,15.324210986098365
