cohort_variant,evaluation,model,condition,n,mse,rmse,mae,p95_abs_error,seed_rmse_min,seed_rmse_max
clean,outer_0,history_raw,Cond2,302,28.625657077243957,5.35029504581233,4.220767014364583,10.832509661439923,5.308520273587429,5.454528124034562
clean,outer_0,history_raw,Cond3,99,22.709627343529974,4.765461923416236,3.86141498198038,9.113365938399697,4.7230619510571605,4.861001306968947
clean,outer_0,history_reset,all,670,21.694690297938795,4.657755929408366,3.6018406243724725,9.598195604310083,4.645024713105904,4.690145107885093
clean,outer_0,history_reset,Cond1,269,14.433783530212727,3.7991819553968096,2.8862025650403957,8.097427311627776,3.7852357335404805,3.823198184811657
clean,outer_0,history_reset,Cond2,302,25.674901691994346,5.067040723340829,4.059577114155755,9.986493372479764,5.0484846322692905,5.1217909056058755
clean,outer_0,history_reset,Cond3,99,29.282165848580558,5.411299829854243,4.150024645036889,11.048810711900824,5.390815748664306,5.432062681860704
clean,outer_0,history_reset_summary,all,670,21.67954015073939,4.6561293099246495,3.596943185954788,9.693380777607926,4.649893942375759,4.678742839399175
clean,outer_0,history_reset_summary,Cond1,269,14.611240605381782,3.822465252344589,2.9044117873948796,8.211395452470525,3.8170915739934235,3.8494381097154005
clean,outer_0,history_reset_summary,Cond2,302,25.519433036985735,5.05167626011265,4.042729840119992,9.819707890292866,5.006133379649773,5.086352676124224
clean,outer_0,history_reset_summary,Cond3,99,29.171711120989897,5.401084254202104,4.118795475396438,11.102292035868293,5.325251805041865,5.448098663977469
clean,outer_0,history_standardized,all,670,22.80986490348118,4.77596743115792,3.6858785915073007,10.031998819431657,4.706637522444265,4.839388439373044
clean,outer_0,history_standardized,Cond1,269,16.021274189937245,4.002658390362241,3.0233729939593155,8.501916393181869,3.9206150200800085,4.114358257440186
clean,outer_0,history_standardized,Cond2,302,29.47446418564739,5.429038974408582,4.293329582050015,11.087093282872626,5.356611172698768,5.551806683124718
clean,outer_0,history_standardized,Cond3,99,20.925237819936953,4.574411199262365,3.632987749047784,9.234737783679105,4.54150593176048,4.608164360397537
clean,outer_0,persistent,all,670,60.17184172407087,7.757051097167716,5.979045895522386,16.033364999999982,7.757051097167716,7.757051097167716
clean,outer_0,persistent,Cond1,269,29.901560662890326,5.468231950355647,4.1381180297397755,10.546050000000001,5.468231950355647,5.468231950355647
clean,outer_0,persistent,Cond2,302,100.71936916904801,10.035904003578752,8.42066572847682,18.089714999999998,10.035904003578752,10.035904003578752
clean,outer_0,persistent,Cond3,99,18.730956037954503,4.327927452944943,3.5329893939393893,7.828320000000017,4.327927452944943,4.327927452944943
clean,outer_0,phase_active,all,670,39.634379835963415,6.295584153671795,4.79463369313209,13.638705622770164,6.243809625391838,6.406582765683047
clean,outer_0,phase_active,Cond1,269,21.765298235331773,4.665329381226129,3.6068603179213534,9.112551013243698,4.601545881950883,4.720754107551003
clean,outer_0,phase_active,Cond2,302,62.700978427228776,7.918394940089107,6.2970395199164955,16.144158730293764,7.826536507223255,8.094375393124384
clean,outer_0,phase_active,Cond3,99,17.822967472405562,4.221725651011155,3.4389213521502455,8.166371465064069,4.178937367981176,4.265284478568992
clean,outer_0,phase_gap,all,670,22.376901008516853,4.730422920682342,3.6606783950560087,10.17290788283199,4.6913391002330425,4.797095035980987
clean,outer_0,phase_gap,Cond1,269,15.239115729996843,3.903731001234184,2.95800298562589,7.8945232814335435,3.8690553911667105,3.9629463849282947
clean,outer_0,phase_gap,Cond2,302,28.625657077243957,5.35029504581233,4.220767014364583,10.832509661439923,5.308520273587429,5.454528124034562
clean,outer_0,phase_gap,Cond3,99,22.709627343529974,4.765461923416236,3.86141498198038,9.113365938399697,4.7230619510571605,4.861001306968947
clean,outer_0,phase_longest,all,670,39.72915887311412,6.303107080885912,4.790809798220922,13.977281434806418,6.243488133889245,6.40186763208755
clean,outer_0,phase_longest,Cond1,269,21.690039790103665,4.657256680719205,3.603653725837024,9.112551013243698,4.594944153957409,4.709130834978335
clean,outer_0,phase_longest,Cond2,302,62.979930082464364,7.935989546519348,6.29176165433561,15.820758806308978,7.794574047475995,8.088589139623616
clean,outer_0,phase_longest,Cond3,99,17.817948045902366,4.22113113346439,3.437855484328321,8.143565557890705,4.169057116073488,4.2686545229544945
clean,outer_0,phase_raw,all,670,22.376901008516853,4.730422920682342,3.6606783950560087,10.17290788283199,4.6913391002330425,4.797095035980987
clean,outer_0,phase_raw,Cond1,269,15.239115729996843,3.903731001234184,2.95800298562589,7.8945232814335435,3.8690553911667105,3.9629463849282947
clean,outer_0,phase_raw,Cond2,302,28.625657077243957,5.35029504581233,4.220767014364583,10.832509661439923,5.308520273587429,5.454528124034562
clean,outer_0,phase_raw,Cond3,99,22.709627343529974,4.765461923416236,3.86141498198038,9.113365938399697,4.7230619510571605,4.861001306968947
clean,outer_0,phase_trimmed,all,670,39.28313987637754,6.267626335095092,4.754083422279297,13.53921355874614,6.221730916120678,6.318669953314651
clean,outer_0,phase_trimmed,Cond1,269,21.108083163950564,4.594353399984655,3.514360315204546,9.280439074731206,4.538189294829542,4.648301394049656
