track,split,model,repeat,stage,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean
official,validation,P2_Integrated,0,all,424,7.931686861811699,2.816325063236078,2.091836123900614,0.9903592001308863,0.02575711005780752,2.575711005780752,1.2294611922343246,0.22946119223432446
official,validation,P2_Integrated,0,A,252,7.5373346837940245,2.7454206751960664,1.9968364852037517,0.9939566865274221,0.02378481357017321,2.378481357017321,1.221379817708615,0.221379817708615
official,validation,P2_Integrated,0,B,172,8.509458657512013,2.917097642779894,2.2310216410611328,0.9056242104027974,0.028646753748992664,2.8646753748992664,1.241301345609201,0.24130134560920116
official,validation,P2_KNN,0,all,424,15.424361463012564,3.9273860853005735,2.9350060259433968,0.981252010503626,0.03696658812250258,3.696658812250258,1.3436737651920623,0.34367376519206205
official,validation,P2_KNN,0,A,252,11.844553479588397,3.4415917072756317,2.5918337500000015,0.9905032279150652,0.03185389500069682,3.185389500069682,1.2963005852845133,0.2963005852845133
official,validation,P2_KNN,0,B,172,20.66919641547123,4.5463387924209115,3.437793313953488,0.7707642976409852,0.044457278045148235,4.445727804514823,1.4130809822659125,0.41308098226591244
official,validation,P2_LR,0,all,424,367.8587993398274,19.179645443537986,3.2336664497449674,0.5528753055541508,0.0385728716086806,3.85728716086806,154392277709145.4,154392277709144.38
official,validation,P2_LR,0,A,252,17.47801674747462,4.180671805759766,2.293344746425625,0.9859864078596563,0.027072731513627338,2.7072731513627337,1.3748572299389368,0.3748572299389367
official,validation,P2_LR,0,B,172,881.2073877890886,29.685137489812785,4.611347084840748,-8.773200196238934,0.055421914073526084,5.542191407352608,380594917143472.6,380594917143471.6
official,validation,P2_Persistent,0,all,424,15.861657018873812,3.9826695844463185,3.126163089622641,0.9807204868805731,0.038909541966149146,3.8909541966149144,1.3614372435519682,0.3614372435519681
official,validation,P2_Persistent,0,A,252,13.569834038303567,3.683725565009365,2.87144107142857,0.9891199257688996,0.03498557627112922,3.498557627112922,1.3258617661708019,0.3258617661708018
official,validation,P2_Persistent,0,B,172,19.219444176453482,4.383998651511367,3.499360465116278,0.7868430539737195,0.04465860798443414,4.465860798443414,1.413559454598793,0.4135594545987931
official,validation,P2_SVR,0,all,424,10.262866059965189,3.2035708295533576,2.3436117179997566,0.9875257004605142,0.029007142224063667,2.9007142224063664,1.265988196956224,0.265988196956224
official,validation,P2_SVR,0,A,252,9.511385492572463,3.0840534192151186,2.1902965546173556,0.9923739244041089,0.026292622943859048,2.6292622943859048,1.2507576937546798,0.25075769375467977
official,validation,P2_SVR,0,B,172,11.363872472656858,3.371034332761513,2.568236259699554,0.8739667844155818,0.0329842286113402,3.2984228611340196,1.2883026551352308,0.2883026551352306
