policy,condition,variant,feature,importance
completed,Cond1,joint_direct,p2_secondary_SLURRY_FLOW_LINE_B_auc,0.0
completed,Cond1,joint_direct,p2_secondary_SLURRY_FLOW_LINE_B_mean,0.0
completed,Cond1,joint_direct,p2_secondary_SLURRY_FLOW_LINE_B_std,0.01913774792003305
completed,Cond1,joint_direct,p2_secondary_SLURRY_FLOW_LINE_C_auc,0.35910079502573916
completed,Cond1,joint_direct,p2_secondary_SLURRY_FLOW_LINE_C_mean,0.0
completed,Cond1,joint_direct,p2_secondary_SLURRY_FLOW_LINE_C_std,0.04675707551514985
completed,Cond1,joint_direct,p2_secondary_STAGE_ROTATION_mean,0.06515025845370336
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_BACKING_FILM_decreasing,0.0
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_BACKING_FILM_mean,0.9026636507241863
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_BACKING_FILM_std,0.0
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_DRESSER_TABLE_decreasing,0.0
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_DRESSER_TABLE_mean,0.6835163703253619
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_DRESSER_TABLE_std,0.0
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_DRESSER_decreasing,0.0016228248847337252
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_DRESSER_mean,1.2104907607576112
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_DRESSER_std,0.0
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_MEMBRANE_decreasing,0.0
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_MEMBRANE_mean,0.0
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_MEMBRANE_std,0.0
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_POLISHING_TABLE_decreasing,0.025001832645593008
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_POLISHING_TABLE_mean,0.688487762911837
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_POLISHING_TABLE_std,0.017397461025385152
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.0
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.0
completed,Cond1,joint_direct,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_std,0.0
completed,Cond1,joint_direct,p2_secondary_WAFER_ROTATION_mean,0.0
completed,Cond1,joint_direct,p2_secondary_duration,0.0015056484652308532
completed,Cond1,joint_direct,history_summary_0,0.2472703148923423
completed,Cond1,joint_direct,history_summary_1,0.0033208459370399697
completed,Cond1,joint_direct,history_summary_2,0.0
completed,Cond1,joint_direct,history_summary_3,0.0
completed,Cond1,joint_direct,history_summary_4,0.18600101164058702
completed,Cond1,joint_direct,history_summary_5,3.8242573443773002
completed,Cond1,joint_direct,history_summary_6,0.5815748359538773
completed,Cond1,joint_direct,history_summary_7,0.0
completed,Cond1,joint_direct,history_summary_8,0.7473491864644104
completed,Cond1,joint_direct,history_summary_9,3.1362459862625727
completed,Cond1,joint_direct,gap__p2_primary_CENTER_AIR_BAG_PRESSURE_auc,0.0
completed,Cond1,joint_direct,gap__p2_primary_CENTER_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_CENTER_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_DRESSING_WATER_STATUS_auc,0.0
completed,Cond1,joint_direct,gap__p2_primary_DRESSING_WATER_STATUS_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_DRESSING_WATER_STATUS_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_EDGE_AIR_BAG_PRESSURE_auc,0.0
completed,Cond1,joint_direct,gap__p2_primary_EDGE_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_EDGE_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_HEAD_ROTATION_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,0.0
completed,Cond1,joint_direct,gap__p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_PRESSURIZED_CHAMBER_PRESSURE_auc,0.0
completed,Cond1,joint_direct,gap__p2_primary_PRESSURIZED_CHAMBER_PRESSURE_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_PRESSURIZED_CHAMBER_PRESSURE_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_RETAINER_RING_PRESSURE_auc,0.0
completed,Cond1,joint_direct,gap__p2_primary_RETAINER_RING_PRESSURE_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_RETAINER_RING_PRESSURE_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_RIPPLE_AIR_BAG_PRESSURE_auc,0.0
completed,Cond1,joint_direct,gap__p2_primary_RIPPLE_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_RIPPLE_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_SLURRY_FLOW_LINE_A_auc,0.0
completed,Cond1,joint_direct,gap__p2_primary_SLURRY_FLOW_LINE_A_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_SLURRY_FLOW_LINE_A_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_SLURRY_FLOW_LINE_B_auc,0.0
completed,Cond1,joint_direct,gap__p2_primary_SLURRY_FLOW_LINE_B_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_SLURRY_FLOW_LINE_B_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_SLURRY_FLOW_LINE_C_auc,0.0
completed,Cond1,joint_direct,gap__p2_primary_SLURRY_FLOW_LINE_C_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_SLURRY_FLOW_LINE_C_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_STAGE_ROTATION_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_BACKING_FILM_decreasing,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_BACKING_FILM_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_BACKING_FILM_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_DRESSER_TABLE_decreasing,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_DRESSER_TABLE_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_DRESSER_TABLE_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_DRESSER_decreasing,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_DRESSER_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_DRESSER_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_MEMBRANE_decreasing,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_MEMBRANE_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_MEMBRANE_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_POLISHING_TABLE_decreasing,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_POLISHING_TABLE_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_POLISHING_TABLE_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_USAGE_OF_PRESSURIZED_SHEET_std,0.0
completed,Cond1,joint_direct,gap__p2_primary_WAFER_ROTATION_mean,0.0
completed,Cond1,joint_direct,gap__p2_primary_duration,0.0
completed,Cond1,joint_direct,gap__p2_secondary_CENTER_AIR_BAG_PRESSURE_auc,0.0
