sample_id,partition,policy,model,clipped
e551d8fe477b80d53719,test,completed,base_direct,False
03e7f5b08e74bd956037,test,completed,base_direct,False
0e0f50334904de2afe94,test,completed,base_direct,False
202f0bfb0a59ec398820,test,completed,base_direct,False
4ace9ed20a16bf707cc6,test,completed,base_direct,False
f3deb55831105a6e4285,test,completed,base_direct,False
4f35a32ecc87443a91a9,test,completed,base_direct,False
5469b6eaedf49a9881c3,test,completed,base_direct,False
a8bca106fc812f8a95bd,test,completed,base_direct,False
21e0c5e038553c7ac0ec,test,completed,base_direct,False
1d730bbf35d21619651d,test,completed,base_direct,False
071b3b8cd6ab5748b4eb,test,completed,base_direct,False
8ff2efab701216506995,test,completed,base_direct,False
293e647e9db79c39ddfd,test,completed,base_direct,False
6a187377a43f61eff20c,test,completed,base_direct,False
03263d39b530bbeb06c0,test,completed,base_direct,False
8685ea7325010b442187,test,completed,base_direct,False
e6b5f5fec3bc532fbff4,test,completed,base_direct,False
c07f11a672e3a61d7fed,test,completed,base_direct,False
87b224a0bf40bdfc3143,test,completed,base_direct,False
a1b9f05c3ed75594b6ed,test,completed,base_direct,False
1231dfd2ab95c560959d,test,completed,base_direct,False
1d12a3644ee42fa22bf5,test,completed,base_direct,False
854c6656bdbe1ea5f307,test,completed,base_direct,False
fc9e64a691df4ee30646,test,completed,base_direct,False
0d2395e2fd89ad36cc56,test,completed,base_direct,False
95bdfe79a0a74518e760,test,completed,base_direct,False
f34c11dc4ac05d740639,test,completed,base_direct,False
9b835bb633719d0ca1d2,test,completed,base_direct,False
4b8e0e083de2f306c108,test,completed,base_direct,False
9c8542ee17a36e4ca58c,test,completed,base_direct,False
91003ef42cf4738a805e,test,completed,base_direct,False
dbc47b7b914266a55982,test,completed,base_direct,False
668cdc478652f2279828,test,completed,base_direct,False
515dc65b92ddc1fcd0a3,test,completed,base_direct,False
1becc7108ca0a195d64a,test,completed,base_direct,False
4f91f011d6c4a66581bf,test,completed,base_direct,False
eb04f2491a820b6eab04,test,completed,base_direct,False
e867a38822028db043d7,test,completed,base_direct,False
ff4cd957e7cfe9b95f0f,test,completed,base_direct,False
59135297414a96cafb48,test,completed,base_direct,False
3832178b31f1168ceece,test,completed,base_direct,False
25f5d1c7a657e344ea5c,test,completed,base_direct,False
ab462574efe9698ce296,test,completed,base_direct,False
4fa524229fac21e09291,test,completed,base_direct,False
e97e6d5130a8ce3c1639,test,completed,base_direct,False
13c9f3d1cb604dd1c804,test,completed,base_direct,False
4008051e5c0764f8b2d2,test,completed,base_direct,False
d078c91b9bd85826bc47,test,completed,base_direct,False
4fd3f97f9b8d33185700,test,completed,base_direct,False
10af1fbcd3118cae9b70,test,completed,base_direct,False
39d340ed617a4771255f,test,completed,base_direct,False
