condition,feature,ols_standardized_coefficient,ridge_standardized_coefficient,train_min,train_max,imputation_value,scaler_mean,scaler_scale
Cond2,lag_4,0.04297238423838223,0.031996119277842086,54.3072,101.4648,79.94002102342787,79.94002102342787,9.130951467674631
Cond2,lag_5,0.10940877229461421,0.0945296163945381,54.3072,101.4648,79.92212037037038,79.92212037037037,9.11679754834155
Cond2,lag_6,-0.3626984320385134,-0.27816632014579945,54.3072,101.4648,79.91041650185414,79.91041650185414,9.110755190568396
Cond2,lag_7,0.5006668728535715,0.5131474875265867,54.3072,101.4648,79.9011051980198,79.9011051980198,9.106938122686431
Cond2,lag_8,-0.6472716573861774,-0.4589928133451173,54.3072,101.4648,79.8911529739777,79.8911529739777,9.102586322252861
Cond2,lag_9,-0.0858302426027393,-0.009450883108838327,54.3072,101.4648,79.88295614143921,79.8829561414392,9.099640418369747
Cond2,lag_10,-0.3019574731568113,-0.3162283748283565,54.3072,101.4648,79.87308316770185,79.87308316770186,9.095375439945158
Cond2,lag_11,0.47803161330526933,0.33874737612393074,54.3072,101.4648,79.8606380597015,79.8606380597015,9.088611456277485
Cond2,neighbor_1,3.0948257627114657,3.4852565003720866,56.50905,101.4648,79.82627392638037,79.82627392638037,9.042189117863705
Cond2,neighbor_2,0.7781739033336024,1.0230854193463201,56.50905,99.87045,79.96482312883435,79.96482312883435,9.140314342257824
Cond2,neighbor_3,0.7478248335457849,0.7500038939422706,56.50905,101.4648,79.87110055214724,79.87110055214724,9.059033204881066
Cond2,neighbor_4,0.439561850790696,0.29479375698414545,56.50905,99.87045,79.88421331288343,79.88421331288343,9.275418227428968
Cond2,neighbor_5,0.06140940108689108,0.17585694722310827,54.3072,101.4648,80.13482153374234,80.13482153374234,9.179572985813492
Cond2,neighbor_6,0.14124289126596068,0.012979952857391456,54.3072,101.4648,80.15516926380369,80.15516926380369,8.982644304105035
Cond2,neighbor_7,0.007721474458975308,0.060827018100043824,54.3072,101.4648,80.37756975460121,80.37756975460121,8.857163274905442
Cond2,neighbor_8,0.3710558087588751,0.1856725298974188,54.3072,97.2468,80.04711957055216,80.04711957055216,8.740404774181467
Cond2,neighbor_9,-0.19212790759248577,-0.021079966142266284,57.6486,99.8547,80.34707042944785,80.34707042944785,8.574964059757793
Cond2,neighbor_10,0.30556344462351603,0.2764756549218151,56.50905,96.29445,80.36208331288344,80.36208331288344,8.213954007762005
Cond2,p2_primary_CENTER_AIR_BAG_PRESSURE_auc,-98.39707755372828,0.5007009449036336,1345.9375,137451.86343764886,9136.370749626858,9136.370749626858,4535.9361362901245
Cond2,p2_primary_CENTER_AIR_BAG_PRESSURE_mean,11.738876175276737,-0.10732865568417736,15.180831826401446,60.61995967741935,47.25001016854084,47.25001016854084,2.2505668148294613
Cond2,p2_primary_CENTER_AIR_BAG_PRESSURE_std,-2.7875684024114165,-0.6848171756112074,17.954082542360393,41.837196406276185,28.11834005157632,28.11834005157632,1.1088571224028676
Cond2,p2_primary_DRESSING_WATER_STATUS_auc,7.175224699695697,1.8228053231955925,0.0,2836.6640000343323,88.97740674841623,88.97740674841623,119.45343915305223
Cond2,p2_primary_DRESSING_WATER_STATUS_mean,-5.417918865330897,-1.0535672166457244,0.0,1.0,0.4560488052316399,0.4560488052316399,0.37314251474864346
Cond2,p2_primary_DRESSING_WATER_STATUS_std,-1.3388855756764784,-0.19108572098642349,0.0,0.4986107045359011,0.27175240590986294,0.27175240590986294,0.18703047482435475
Cond2,p2_primary_EDGE_AIR_BAG_PRESSURE_auc,59.56217150292151,0.04278783269315001,906.2121212117299,88486.91000015264,6489.018986717431,6489.018986717431,2913.383549089248
Cond2,p2_primary_EDGE_AIR_BAG_PRESSURE_mean,-4.90558322025678,-0.0418897766311029,10.803331689408319,40.60117302051292,33.61810107239007,33.61810107239007,2.083971137804388
Cond2,p2_primary_EDGE_AIR_BAG_PRESSURE_std,-0.6113157684531103,-0.3430860130844495,12.02571027753771,27.047782777488656,20.102060654920365,20.102060654920365,1.1821542026921368
Cond2,p2_primary_HEAD_ROTATION_mean,-0.08587597288460813,-0.1490626294093478,9.514893617021277,162.95519125683055,159.44678978225892,159.44678978225892,8.953436700552043
Cond2,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,2.568182634853251,0.8342281726567989,5286.6,577848.6936013699,35965.66333108536,35965.66333108536,19123.01144919576
Cond2,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,-5.288338323592271,0.17285698814798914,59.33164556962026,237.19354838709677,185.78886053359787,185.78886053359787,8.490905056745191
Cond2,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_std,2.4736135408783326,1.008056270266136,70.25066609939687,178.67438030464623,110.77145685698143,110.77145685698143,4.517211201010167
Cond2,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_auc,-7.759288931822347,0.43705321206627284,1802.61904761895,169649.50404758495,11757.801208882578,11757.801208882578,5585.070712982261
Cond2,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_mean,-0.9072759278977571,0.18880025309275858,19.639197451126588,69.65437788014516,60.852711164986474,60.852711164986474,2.950665850824562
