split,model,repeat,stage,n_v2,mse_v2,rmse_v2,mae_v2,r2_v2,relative_error_v2,mape_percent_v2,s_score_literal_mean_v2,s_score_minus_one_mean_v2,s_score_overflow,n_v1,mse_v1,rmse_v1,mae_v1,r2_v1,relative_error_v1,mape_percent_v1,s_score_literal_mean_v1,s_score_minus_one_mean_v1,mse_reduction_percent
test,P3_RF,0,A,238,7.464080993022183,2.732047033457181,2.05426826982818,0.9946444805030557,0.023557137472824372,2.3557137472824374,1.2171542883601607,0.21715428836016054,False,238,7.464080993022186,2.7320470334571816,2.0542682698281802,0.9946444805030557,0.02355713747282438,2.355713747282438,1.2171542883601607,0.21715428836016057,4.440892098500626e-14
test,P3_RF,0,B,186,12.053662095403793,3.4718384316387465,2.661745991935485,0.834357038508917,0.03252052192048053,3.252052192048053,1.283910421074857,0.2839104210748572,False,186,12.053662095403789,3.471838431638746,2.661745991935485,0.834357038508917,0.03252052192048052,3.252052192048052,1.283910421074857,0.28391042107485714,-2.220446049250313e-14
test,P3_RF_CPP,0,all,424,8.685100884166745,2.947049521838197,2.193235006718526,0.990061154950574,0.025764590087591938,2.5764590087591936,1.2308385144313712,0.23083851443137093,False,424,8.685100884166744,2.9470495218381965,2.193235006718526,0.990061154950574,0.02576459008759194,2.576459008759194,1.2308385144313707,0.23083851443137093,-2.220446049250313e-14
test,P3_RF_CPP,0,A,238,7.277576950801407,2.6976984543868885,2.0015652367808823,0.994778298187417,0.022668940729238946,2.2668940729238947,1.2115983538259445,0.2115983538259446,False,238,7.277576950801409,2.697698454386889,2.001565236780883,0.994778298187417,0.02266894072923895,2.266894072923895,1.2115983538259443,0.2115983538259446,2.220446049250313e-14
test,P3_RF_CPP,0,B,186,10.486126132236368,3.2382288572978237,2.438489873627984,0.8558983175930417,0.029725689804194162,2.972568980419416,1.255457644668422,0.25545764466842186,False,186,10.486126132236366,3.2382288572978233,2.438489873627983,0.8558983175930418,0.02972568980419416,2.9725689804194158,1.255457644668422,0.2554576446684218,-2.220446049250313e-14
validation,P1_CART_Stack,0,all,424,95.85621349502246,9.790618647206236,4.815563256318448,0.8834887727393893,0.06314104889274866,6.314104889274866,33.92057355908629,32.92057355908629,False,424,108.26121876833446,10.404865148974034,5.560373488600627,0.8684107476863449,0.07200381467686719,7.200381467686719,46.558224545231546,45.558224545231546,11.458401645982919
validation,P1_CART_Stack,0,A,252,144.62737853155767,12.026112361505595,5.472969282553931,0.8840400988080528,0.07139581150712007,7.139581150712007,56.058244613223856,55.058244613223856,False,252,157.29508299527237,12.541733651902849,6.0450851098356,0.8738833375305148,0.07796335562161108,7.796335562161108,77.20724558886404,76.20724558886404,8.053465005066585
validation,P1_CART_Stack,0,B,172,24.400785650796482,4.939715138628591,3.852386985322275,0.7293783887705836,0.05104686180657658,5.104686180657659,1.4863113169777673,0.4863113169777674,False,172,36.42090606375099,6.034973576060709,4.85021460167497,0.5960669290545655,0.06327239422294008,6.327239422294008,1.6538448766536904,0.6538448766536905,33.00335360112827
validation,P1_ELM_Stack,0,all,424,71.82048154325904,8.47469654579201,4.92261168493489,0.9127037033703854,0.062108229100111954,6.210822910011196,6.7662623320992905,5.76626233209929,False,424,103.46067431971179,10.171562039318827,5.080549586926448,0.8742457092901348,0.06409555201969061,6.409555201969061,55.715973877981206,54.715973877981206,30.58185439491623
validation,P1_ELM_Stack,0,A,252,105.2142584126495,10.25740017804948,5.815362967347514,0.9156409033103462,0.07170085087026958,7.1700850870269575,10.390545092182705,9.390545092182705,False,252,151.11265562836928,12.292788765303392,5.759517609871365,0.8788403081530312,0.07092576890940332,7.0925768909403315,92.66477973008048,91.66477973008048,30.373628882942484
