split,model,repeat,stage,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
test,P3_RF,0,B,186,12.053662095403793,3.4718384316387465,2.661745991935485,0.834357038508917,0.03252052192048053,3.252052192048053,1.283910421074857,0.2839104210748572,False
test,P3_RF_CPP,0,all,424,8.685100884166745,2.947049521838197,2.193235006718526,0.990061154950574,0.025764590087591938,2.5764590087591936,1.2308385144313712,0.23083851443137093,False
test,P3_RF_CPP,0,A,238,7.277576950801407,2.6976984543868885,2.0015652367808823,0.994778298187417,0.022668940729238946,2.2668940729238947,1.2115983538259445,0.2115983538259446,False
test,P3_RF_CPP,0,B,186,10.486126132236368,3.2382288572978237,2.438489873627984,0.8558983175930417,0.029725689804194162,2.972568980419416,1.255457644668422,0.25545764466842186,False
validation,P1_CART_Stack,0,all,424,95.85621349502246,9.790618647206236,4.815563256318448,0.8834887727393893,0.06314104889274866,6.314104889274866,33.92057355908629,32.92057355908629,False
validation,P1_CART_Stack,0,A,252,144.62737853155767,12.026112361505595,5.472969282553931,0.8840400988080528,0.07139581150712007,7.139581150712007,56.058244613223856,55.058244613223856,False
validation,P1_CART_Stack,0,B,172,24.400785650796482,4.939715138628591,3.852386985322275,0.7293783887705836,0.05104686180657658,5.104686180657659,1.4863113169777673,0.4863113169777674,False
validation,P1_ELM_Stack,0,all,424,71.82048154325904,8.47469654579201,4.92261168493489,0.9127037033703854,0.062108229100111954,6.210822910011196,6.7662623320992905,5.76626233209929,False
validation,P1_ELM_Stack,0,A,252,105.2142584126495,10.25740017804948,5.815362967347514,0.9156409033103462,0.07170085087026958,7.1700850870269575,10.390545092182705,9.390545092182705,False
validation,P1_ELM_Stack,0,B,172,22.894715432291616,4.784842257827484,3.614627247911742,0.7460817504979189,0.04805392278569498,4.805392278569498,1.4562666603491687,0.4562666603491686,False
validation,P1_ERT,0,all,424,78.70688877660054,8.871690299858338,5.257267239976417,0.9043334190777075,0.06599448090018986,6.599448090018986,7.619291632530225,6.619291632530225,False
validation,P1_ERT,0,A,252,114.63631638896399,10.706835031369634,6.113255788690481,0.9080864490773267,0.07459533492395996,7.459533492395996,11.78863720214636,10.78863720214636,False
validation,P1_ERT,0,B,172,26.066099484068022,5.1054969869806035,4.003144482558136,0.7109089050739441,0.053393229656061546,5.339322965606154,1.5107155654182107,0.5107155654182108,False
validation,P1_GBT,0,all,424,73.43758236822889,8.56957305635636,4.855175042544224,0.9107381510618627,0.06105432294359299,6.105432294359299,9.120804291218734,8.120804291218734,False
validation,P1_GBT,0,A,252,103.48032907938227,10.172528155742912,5.29284816931199,0.9170311399045579,0.06449707341890683,6.449707341890683,14.286182235395485,13.286182235395485,False
validation,P1_GBT,0,B,172,29.421465093748328,5.424155703309809,4.213933019605403,0.6736955767594184,0.056010293177435506,5.601029317743551,1.5529249776574463,0.5529249776574461,False
validation,P1_RF,0,all,424,81.67530114219888,9.037438859665878,5.02903222392629,0.9007253757895237,0.06320596548646656,6.320596548646656,5.938606031250927,4.938606031250927,False
validation,P1_RF,0,A,252,119.98557860777159,10.953792886839315,5.868028698235877,0.9037974968426888,0.07173281177498908,7.173281177498908,8.970725855548316,7.970725855548317,False
validation,P1_RF,0,B,172,25.546289971708596,5.0543337811929865,3.799804831333175,0.7166739525515238,0.0507131441800266,5.07131441800266,1.4961979165826564,0.4961979165826566,False
