split,model,repeat,stage,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
validation,P1_CART_Stack,5,all,424,86.43051323541901,9.296801236738313,4.712638798595417,0.8949455147177701,0.061415259065538484,6.141525906553849,29.789671448962324,28.789671448962324,False
validation,P1_CART_Stack,5,A,252,129.46066487612106,11.378078259360016,5.4097616135902085,0.8962005253797564,0.07016142211502498,7.016142211502498,49.12649947636823,48.12649947636823,False
validation,P1_CART_Stack,5,B,172,23.386337575785863,4.83594226348763,3.6912728138356075,0.740629320461752,0.04860111320233735,4.860111320233735,1.458969920437395,0.458969920437395,False
validation,P1_CART_Stack,6,all,424,90.23227361179737,9.499066986383314,4.77497409130043,0.8903245543120516,0.06241917764861999,6.2419177648619995,30.51680845145791,29.51680845145791,False
validation,P1_CART_Stack,6,A,252,132.91989565637297,11.529089107833844,5.319618576713173,0.8934269698915012,0.06911695333392515,6.911695333392514,50.308678705913564,49.308678705913564,False
validation,P1_CART_Stack,6,B,172,27.68994363951217,5.262123491473017,3.977006589416645,0.6928993488235526,0.05260615745852173,5.2606157458521725,1.5194171484182184,0.5194171484182184,False
validation,P1_CART_Stack,7,all,424,85.34523802675814,9.238248644995334,4.623208287318444,0.8962646440873353,0.060605242716251374,6.0605242716251375,32.900958798355454,31.900958798355454,False
validation,P1_CART_Stack,7,A,252,126.51914206725904,11.248072815698654,5.237052816555872,0.89855899096029,0.06839828666552493,6.839828666552493,54.347746420648846,53.347746420648846,False
validation,P1_CART_Stack,7,B,172,25.02068094416384,5.0020676668917465,3.7238546747147705,0.7225033206688674,0.04918752716266454,4.918752716266455,1.478921119181428,0.47892111918142805,False
validation,P1_CART_Stack,8,all,424,92.03236325949167,9.593349949808548,4.6969056375831135,0.888136582907956,0.061658350036181,6.1658350036181,32.67346999343534,31.67346999343534,False
validation,P1_CART_Stack,8,A,252,137.80746985867415,11.739142637291454,5.306906223461257,0.8895081916676154,0.06910664083352289,6.910664083352288,53.95698779205058,52.95698779205058,False
validation,P1_CART_Stack,8,B,172,24.966509404875524,4.996649818115687,3.803183848970951,0.7231041205551818,0.05074573793774989,5.074573793774989,1.4906415908130106,0.4906415908130107,False
validation,P1_CART_Stack,9,all,424,93.55281016261344,9.67227016592348,4.761134996902442,0.8862885114245512,0.06158374063830318,6.158374063830318,32.998868213126265,31.99886821312626,False
validation,P1_CART_Stack,9,A,252,138.49579102197606,11.768423472240285,5.3715952243216725,0.888956306852339,0.06874070550696473,6.874070550696473,54.48274620783426,53.48274620783426,False
validation,P1_CART_Stack,9,B,172,27.706117275640313,5.2636600645976666,3.866739779985896,0.6927199719981062,0.05109795490049672,5.109795490049672,1.5224888255308284,0.5224888255308282,False
validation,P1_CART_Stack,10,all,424,100.80772572914994,10.040305061558136,4.816840668088393,0.8774703129425805,0.06331904364065395,6.331904364065395,39.967008520927266,38.967008520927266,False
validation,P1_CART_Stack,10,A,252,151.84686773091948,12.322616107422949,5.494166234532638,0.8782516287222754,0.07196629135770487,7.196629135770487,66.2245575006337,65.22455750063371,False
validation,P1_CART_Stack,10,B,172,26.029447912603874,5.101906301825218,3.8244799544607773,0.7113153963839234,0.050649820241253744,5.064982024125374,1.496646062287603,0.49664606228760294,False
validation,P1_CART_Stack,11,all,424,92.21425658174854,9.602825447843387,4.82605978471202,0.8879154953703416,0.06305920546042988,6.305920546042988,32.41772496948714,31.417724969487136,False
validation,P1_CART_Stack,11,A,252,137.80966775102812,11.73923625075448,5.587771146446327,0.8895064294329488,0.07237511413447238,7.237511413447238,53.52505996344409,52.52505996344409,False
validation,P1_CART_Stack,11,B,172,25.41167742675749,5.040999645581964,3.710064068682684,0.7181668988987316,0.049410316007762974,4.941031600776298,1.493024862061835,0.49302486206183493,False
validation,P1_CART_Stack,12,all,424,91.61279820155289,9.571457475304003,4.843403545339642,0.8886465554807685,0.06360476570857694,6.360476570857694,31.29293015172966,30.29293015172966,False
validation,P1_CART_Stack,12,A,252,136.9297094547604,11.701696862197396,5.546623531979897,0.890211965812881,0.07233950426019052,7.233950426019052,51.632886258762596,50.632886258762596,False
validation,P1_CART_Stack,12,B,172,25.21825380731863,5.021777952809008,3.813104495145784,0.7203121007906494,0.05080735806318961,5.080735806318961,1.492529343751163,0.4925293437511632,False
validation,P1_CART_Stack,13,all,424,86.857616238271,9.319743356888697,4.724696140358702,0.8944263799302108,0.06207288950003583,6.2072889500035835,32.82262160628307,31.82262160628307,False
validation,P1_CART_Stack,13,A,252,127.03155830044182,11.270827755779157,5.199195404750625,0.8981481438829778,0.0680076887102045,6.80076887102045,54.184636042933406,53.184636042933406,False
validation,P1_CART_Stack,13,B,172,27.998119728578896,5.291324950197152,4.029499543691468,0.6894814625735295,0.053377718564207324,5.337771856420733,1.5247865014232909,0.5247865014232909,False
validation,P1_CART_Stack,14,all,424,85.17259261144899,9.228899859216645,4.5935530217793925,0.8964744909870319,0.060472916658319505,6.047291665831951,32.490770272026694,31.490770272026694,False
validation,P1_CART_Stack,14,A,252,125.9627237136244,11.223311619732582,5.210978500738764,0.8990051182286121,0.06808082395166047,6.808082395166047,53.651409896629744,52.651409896629744,False
validation,P1_CART_Stack,14,B,172,25.410307508261777,5.040863766088286,3.688952901443569,0.7181820922435636,0.04932644783319204,4.932644783319204,1.4879726824919932,0.48797268249199327,False
validation,P1_CART_Stack,15,all,424,87.23609610125814,9.340026557845441,4.65434968455548,0.8939663455545326,0.06114598763800889,6.114598763800889,29.98209579939609,28.98209579939609,False
validation,P1_CART_Stack,15,A,252,128.00857084397632,11.314087274012708,5.162166591121895,0.8973647909717803,0.06759090335575997,6.759090335575997,49.41141860084593,48.41141860084593,False
validation,P1_CART_Stack,15,B,172,27.49967961774079,5.244013693511945,3.910338867958173,0.6950095085892107,0.05170343670269916,5.170343670269916,1.5158786716905248,0.5158786716905246,False
validation,P1_CART_Stack,16,all,424,91.76032831512352,9.579161148823184,4.7918687622082565,0.8884672357062512,0.06276076322120211,6.276076322120211,32.23590796748268,31.23590796748268,False
validation,P1_CART_Stack,16,A,252,137.13725591674682,11.71056172507309,5.405288396350111,0.8900455584046223,0.07041423305826189,7.041423305826189,53.218026590567746,52.218026590567746,False
validation,P1_CART_Stack,16,B,172,25.277852991814935,5.027708522957047,3.893137670326006,0.7196511045601521,0.05154753997155638,5.154753997155638,1.494664403427823,0.4946644034278229,False
validation,P1_CART_Stack,17,all,424,87.12054419457593,9.333838663410457,4.77273053100454,0.89410679648587,0.062010047298565,6.2010047298565,26.314154679771843,25.314154679771843,False
validation,P1_CART_Stack,17,A,252,126.98782089548176,11.268887296245435,5.281026885314882,0.8981832118293726,0.06790413669986989,6.790413669986989,43.226745197080234,42.226745197080234,False
validation,P1_CART_Stack,17,B,172,28.710348097899953,5.358203812650276,4.028017267712644,0.6815823567157362,0.05337452096642063,5.337452096642063,1.5352429916223436,0.5352429916223437,False
validation,P1_CART_Stack,18,all,424,95.19024670079585,9.756548913462991,4.71899296908838,0.8842982414809664,0.06157582133648732,6.157582133648732,36.204599679406805,35.204599679406805,False
validation,P1_CART_Stack,18,A,252,141.46413985193442,11.893869843408176,5.292108339780293,0.8865763326004368,0.06830359828434392,6.830359828434392,59.883000722109585,58.883000722109585,False
validation,P1_CART_Stack,18,B,172,27.393612549127642,5.2338907658765335,3.8793123097025553,0.6961858658351313,0.05171884580823231,5.171884580823231,1.5129888494004,0.5129888494003999,False
validation,P1_CART_Stack,19,all,424,88.58279731650796,9.41184346005117,4.656647551811435,0.892329458329165,0.061285051197645095,6.128505119764509,36.331165019490335,35.331165019490335,False
validation,P1_CART_Stack,19,A,252,131.75204541454008,11.478329382559993,5.3227943349331905,0.8943633333935223,0.06969382325245896,6.9693823252458955,60.11353824061,59.11353824061,False
validation,P1_CART_Stack,19,B,172,25.33482917287951,5.033371551244703,3.680665055609793,0.7190191992542305,0.048965222373150374,4.896522237315038,1.4872228583150109,0.48722285831501094,False
validation,P1_ELM_Stack,0,all,424,71.82048154325904,8.47469654579201,4.92261168493489,0.9127037033703854,0.062108229100111954,6.210822910011196,6.7662623320992905,5.76626233209929,False
validation,P1_ELM_Stack,0,A,252,105.2142584126495,10.25740017804948,5.815362967347514,0.9156409033103462,0.07170085087026958,7.1700850870269575,10.390545092182705,9.390545092182705,False
