track,split,model,repeat,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean
grouped,test,P1_RF,2,296,53.496632723219385,7.314139233239916,4.813092901883563,0.9311493120383487,0.0563923718348606,5.63923718348606,1.9134509687653698,0.9134509687653697
grouped,test,P1_RF,3,296,50.96942814540455,7.1392876497172,4.8179896620219935,0.934401848972825,0.05705526773028311,5.7055267730283115,1.8244332800100287,0.8244332800100288
grouped,test,P1_RF,4,296,47.69244303581345,6.9059715490156375,4.660810991840015,0.9386193607628243,0.05515046226183886,5.515046226183886,1.830305977300568,0.8303059773005682
grouped,test,P1_RF,5,296,50.29827505272412,7.092127681642803,4.7805116256139435,0.9352656295475337,0.055985847752075955,5.598584775207596,1.798435243637396,0.7984352436373959
grouped,test,P1_RF,6,296,48.54526669537323,6.967443339947102,4.752891888442764,0.9375217683970681,0.05616967590797872,5.616967590797872,1.7671331872361375,0.7671331872361375
grouped,test,P1_RF,7,296,45.619241946457784,6.754201799358514,4.622241060152514,0.9412875907806554,0.05463753755748766,5.463753755748766,1.73525005921868,0.7352500592186798
grouped,test,P1_RF,8,296,48.13061139382317,6.93762289216005,4.722392123105791,0.9380554338134762,0.05575638490832484,5.575638490832484,1.7813842804823385,0.7813842804823388
grouped,test,P1_RF,9,296,48.01851199574441,6.929539089704626,4.693102209939104,0.9381997068318874,0.05522899271950418,5.522899271950418,1.7574404231249274,0.7574404231249277
grouped,test,P1_RF,10,296,47.193348924063585,6.869741547108129,4.649024652853595,0.9392616997513242,0.05491204373915041,5.491204373915041,1.7529667333741834,0.7529667333741831
grouped,test,P1_RF,11,296,55.89865050990768,7.476540009249445,4.898615698177444,0.9280578917247514,0.05803794908289279,5.803794908289279,1.9850355668986353,0.9850355668986353
grouped,test,P1_RF,12,296,51.185902574497256,7.154432372627283,4.809652632872772,0.9341232442717357,0.056816652657721144,5.681665265772114,1.8463837939799936,0.8463837939799935
grouped,test,P1_RF,13,296,49.018251355172914,7.001303546852752,4.733267604131733,0.9369130325278219,0.056002295417898584,5.600229541789858,1.7929089990319822,0.7929089990319824
grouped,test,P1_RF,14,296,45.50726636348696,6.745907378810278,4.7128553623434275,0.9414317044478152,0.05608927171773242,5.608927171773241,1.7432065081678636,0.7432065081678634
grouped,test,P1_RF,15,296,45.473999539959635,6.743441223882628,4.68528987867109,0.9414745191740804,0.05565932752308326,5.565932752308326,1.752821752507676,0.7528217525076759
grouped,test,P1_RF,16,296,51.23391824813726,7.157787245241176,4.797447546029464,0.9340614476315591,0.0566092774569235,5.66092774569235,1.8278106847346955,0.8278106847346955
grouped,test,P1_RF,17,296,44.284029342080125,6.654624658241825,4.596900368623806,0.9430060224221776,0.05461932137416614,5.461932137416614,1.7171976975822256,0.7171976975822256
grouped,test,P1_RF,18,296,49.357834633493134,7.025513122434057,4.713062856449239,0.9364759855373396,0.05554189432095948,5.554189432095948,1.8427931701243274,0.8427931701243275
grouped,test,P1_RF,19,296,53.52415796803238,7.316020637479939,4.804642766687894,0.931113886779875,0.056269070059027766,5.626907005902777,1.873419675655047,0.8734196756550471
grouped,validation,P1_CART_Stack,0,297,73.22615330806967,8.557228132290833,5.333758308281224,0.9333379430787356,0.06252833838848797,6.2528338388487965,3.535695527865237,2.535695527865237
grouped,validation,P1_CART_Stack,1,297,37.60686635220149,6.132443750431103,4.995458584856501,0.9657642665612401,0.060209487335394295,6.02094873353943,1.6657346305884912,0.665734630588491
grouped,validation,P1_CART_Stack,2,297,56.24317769341094,7.499545165769118,5.320089772526857,0.948798540638106,0.06329694885293057,6.329694885293057,1.91053267128544,0.91053267128544
grouped,validation,P1_CART_Stack,3,297,57.94094647459499,7.611895064607433,5.593214029581529,0.9472529622618353,0.0661068232968007,6.6106823296800705,1.9483404852932011,0.9483404852932011
grouped,validation,P1_CART_Stack,4,297,43.4170247503865,6.589159639163897,4.9385796855459345,0.9604749390141287,0.05921347116793703,5.921347116793703,1.7169194024896375,0.7169194024896376
