evaluation,policy,model,dimension,value,n,mse,rmse,mae,r2
nested_oof,retrospective,incumbent_refit,cold_history,True,206,40.94792126609192,6.399056279334626,5.210380621243416,0.9596321831957969
nested_oof,retrospective,incumbent_refit,missing_physical_feature,False,1975,36.34615182387778,6.0287769757951555,4.622648603841891,0.9597600992052722
nested_oof,retrospective,incumbent_refit,missing_physical_feature,True,2,95.6625418201736,9.780722970219205,9.765799788908616,-13.528195900826846
nested_oof,retrospective,proposed,cold_history,False,1771,27.095530082187818,5.205336692490488,4.033591690883937,0.9691302613739183
nested_oof,retrospective,proposed,cold_history,True,206,44.501957496728146,6.6709787510325755,5.289437610615031,0.9561284965851502
nested_oof,retrospective,proposed,missing_physical_feature,False,1975,28.732252067977036,5.360247388691779,4.156450901954218,0.9681896730518539
nested_oof,retrospective,proposed,missing_physical_feature,True,2,203.69459281298538,14.272161462546077,12.062250491283933,-29.934939549161538
nested_oof,retrospective,tuned,cold_history,False,1771,50.413224741232426,7.100227090821281,4.310560446557583,0.9425645829279122
nested_oof,retrospective,tuned,cold_history,True,206,38.60026360597987,6.212911041209255,5.016930018812149,0.9619465818615203
nested_oof,retrospective,tuned,missing_physical_feature,False,1975,30.385189805032002,5.512276281631029,4.288594396588116,0.9663596567441781
nested_oof,retrospective,tuned,missing_physical_feature,True,2,18611.36272730813,136.42346838908668,98.75810073362722,-2825.4931972219347
temporal,completed,control,cold_history,False,166,12.420051911737461,3.5242094023677795,2.6767759850335375,0.981507935835576
temporal,completed,control,missing_physical_feature,False,166,12.420051911737461,3.5242094023677795,2.6767759850335375,0.981507935835576
temporal,completed,features,cold_history,False,166,11.629382906842935,3.410188104319604,2.5719053406540713,0.9826851532961177
temporal,completed,features,missing_physical_feature,False,166,11.629382906842935,3.410188104319604,2.5719053406540713,0.9826851532961177
temporal,completed,proposed,cold_history,False,166,12.463494235853128,3.5303674363801183,2.6277912119812683,0.9814432550878056
temporal,completed,proposed,missing_physical_feature,False,166,12.463494235853128,3.5303674363801183,2.6277912119812683,0.9814432550878056
